Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:5	oeev	207195	Assumed Knowledge and Implicit Information [26687]	John	1	Jesus is referring to the man who was known as John the Baptist because he baptized people. It may help to identify him if you use that title after his name in your translation. However, because the word “Baptist” is associated with a group of churches in many parts of the world, it may be helpful to your readers to use a different form of the word as a title, as UST does by saying “Baptizer.” Alternate translation: “John the Baptist” or “John the Baptizer”
1:5	u6wh	207196	Metaphor [26706]	you will be baptized in the Holy Spirit	1	After describing earlier in the verse how John baptized people literally, Jesus is using baptism in this second instance as a metaphor. See the discussion in the General Notes to this chapter. Alternate translation: “the Holy Spirit will come and empower you”
1:5	m4pd	207197	Active or Passive [26672]	you will be baptized	1	You may wish to retain the metaphor of baptism in your translation. If you do, and If it would be helpful in your language, you could state this with an active form, and you can say who will do the action. Alternate translation: “God will baptize”
1:5	ez85	207198	Litotes [26704]	after these not many days	1	Jesus is using a figure of speech that expresses a positive meaning by using a negative word together with a word that is the opposite of the intended meaning. Alternate translation: “just a few days from now”
1:6	jp23	207199	Pronouns — When to Use Them [26838]	They therefore having assembled, they were asking him	1	In the first instance, **they** describes Jesus and the apostles, while in the second instance, **they** refers to the apostles. (Other disciples could have been present on this occasion, but the instructions that Jesus gives about being “witnesses” in 1:8 apply specifically to the apostles, so it would be good to name them directly.) Alternate translation: “When the apostles were together with Jesus, the apostles were asking him”
1:6	vahh	207200	Idiom [26697]	if you are restoring the kingdom to Israel at this time	1	This is an idiomatic way of asking a question. Alternate translation: “are you restoring the kingdom to Israel at this time” or “will you now restore the kingdom to Israel”
1:6	jcbq	207201	Abstract Nouns [26671]	if you are restoring the kingdom to Israel	1	If your language does not use an abstract noun for the idea behind the word **kingdom**, you could express the same idea with a noun such as “king.” Alternate translation: “are you going to give Israel its own king again” or “are you going to become the restored king of Israel”
1:7	fbed	207202	Assumed Knowledge and Implicit Information [26687]	It is not for you to know	1	Jesus is saying implicitly by this response that he is not going to tell the apostles when the thing they are asking about will happen. If it would be helpful to your readers, you could indicate that explicitly in your translation. Alternate translation: “I am not going to tell you when that will happen, because it is not for you to know”
1:7	kw91	207203	Doublet [26680]	the times or the seasons	1	The words **times** and **seasons** could: (1) refer to different kinds of time. Alternate translation: “the general period of time or the specific date” (2) have similar meanings, being used together for emphasis. Alternate translation: “the exact time”
1:7	lfcu	207204	Translating Son and Father [26763]	the Father	1	**Father** is an important title for God. Alternate translation: “God the Father”
1:7	qyxf	207205	Abstract Nouns [26671]	by his own authority	1	If your language does not use an abstract noun for the idea behind the word **authority**, you could express the same idea with a verb such as “control.” Alternate translation: “as the one who controls all things”
1:8	h3af	207206	Connect — Reason-and-Result Relationship [26745]	you will receive power when the Holy Spirit has come upon you, and you will be my witnesses	1	Jesus is using the word translated **and** to describe a result. Alternate translation: “when the Holy Spirit comes upon you, then you will receive power to be my witnesses”
1:8	a69l	207207	Abstract Nouns [26671]	power	1	If your language does not use an abstract noun for the idea behind the word **power**, you could express the same idea with an adjective such as “powerful.” Alternate translation: “powerful ability”
1:8	espt	207208	Idiom [26697]	to the end of the earth	1	This is a reference to place, not to time. Jesus does not mean “until the world ends.” Alternate translation: “all over the world” or “to the places on the earth that are farthest away from here”
1:9	uyoz	207209	Assumed Knowledge and Implicit Information [26687]	as they were looking	1	Your language may require you to specify the object of **looking**. Alternate translation: “as they were looking at him”
1:9	p390	207210	Active or Passive [26672]	he was raised up	1	If it would be helpful in your language, you could state this with an active form, and you could state who did the action. (See the discussion of “Ascension” in the General Notes to this chapter.) Alternate translation: “he rose up” or “God raised him up”
1:9	u7sx	207211	Metonymy [26707]	from their eyes	1	Luke is using the **eyes** of the apostles to mean their capacity to see. Alternate translation: “from their sight”
1:10	k6l5	207212	Assumed Knowledge and Implicit Information [26687]	they were looking intently into heaven	1	Since a cloud was able to block the apostles’ view, it is clear that Luke is using the word translated **heaven** here in one of its specific senses to mean “sky.” It would be good to make clear that the apostles were not seeing into heaven itself. Alternate translation: “gazing at the sky”
1:10	creh	207213	Metaphor [26706]	and behold, two men	1	Luke is using the term **behold** to focus readers’ attention on how suddenly these **two men** appeared. Your language may have a comparable expression that you can use in your translation. Alternate translation: “just then two men”
1:10	kwgo	207214	Connect — Sequential Time Relationship [26747]	And	1	Luke uses the word translated **And** to indicate that the event of the men appearing happened after the event of Jesus going up. Alternate translation: “Then”
1:10	sp3n	207215	Assumed Knowledge and Implicit Information [26687]	two men	1	These were actually angels. Luke calls them **men** because they appeared in human form. Alternate translation: “two angels”
1:10	tfdj	207216		white clothes	1	In this context, the word **white** likely has the specific sense of “bright” or “shining.” Alternate translation: “bright clothes” or “shining clothes”
1:11	exo9	207217	Assumed Knowledge and Implicit Information [26687]	they said	1	This could mean: (1) one of the angels had spoken on behalf of both of them. Alternate translation: “one of them said” (2) the two angels had each said different parts of the quotation.
1:11	kbxx	207218	Verbs [26730]	they said	1	If you retain the word **they** in your translation and if your language uses dual forms for verbs, it would be accurate to use the dual form here, since two men are speaking.
1:11	g9rs	207219	Idiom [26697]	Men, Galileans	1	This is an idiomatic form of address. Alternate translation: “You Galileans”
1:11	ptdj	207220	Rhetorical Question [26724]	why do you stand looking into heaven	1	The angels are not looking for information. They are using the question form for emphasis. If you would not use a rhetorical question for this purpose in your language, you could translate their words as a statement or an exclamation. Alternate translation: “there is no reason for you to stand looking into heaven!”
1:11	nsbn	207221	Idiom [26697]	why do you stand looking	1	The expression **stand** means to continue doing something. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: “why do you keep looking” or “there is no reason for you to keep looking”
1:11	wv5l	207222	Assumed Knowledge and Implicit Information [26687]	the one having been taken up from you into heaven,  &  you saw him going into heaven	1	In its second occurrence in this sentence, the term translated **heaven** likely means “the sky,” as in the previous sentence and in the previous verse. However, in its first occurrence in this sentence, the term likely means “heaven” itself. It would not be accurate to say that Jesus was just “taken up from you into the sky.” Alternate translation: “who has been taken up from you into heaven … you saw him going into the sky”
1:11	ms3p	207223	Active or Passive [26672]	the one having been taken up	1	If it would be helpful in your language, you could state this with an active form, and you could state who has done the action. Alternate translation: “whom God has taken up”
1:11	nzut	207224		the way	1	Alternate translation: “in the same way in which”
1:12	fnkg	207225	Pronouns — When to Use Them [26838]	they returned	1	The word **they** refers to the apostles. Alternate translation: “the apostles returned”
1:12	e84c	207226	Active or Passive [26672]	the hill that is called Olivet	1	If it would be helpful in your language, you could state this with an active form. Alternate translation: “the hill that people call Olivet” or “the hill whose name is Olivet”
1:12	idgh	207227	How to Translate Names [26805]	the hill that is called Olivet	1	**Olivet** is the name of a hill. If your readers might recognize it better if you called it the Mount of Olives, you could use that name in your translation, as UST does.
1:12	aixb	207228	Idiom [26697]	having a journey of a Sabbath	1	The expression **having a journey** refers to a distance. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: “a Sabbath-day’s journey away”
1:12	i6cm	207229	Translate Unknowns [26822]	having a journey of a Sabbath	1	The **journey of a Sabbath** was the distance that interpreters of the law of Moses had determined people could walk on the Sabbath without that being “work.” If it would be helpful to your readers, you could express the distance in the measurement that your culture uses. Alternate translation: “about a kilometer away” or “about half a mile away”
1:13	q9x7	207230	Assumed Knowledge and Implicit Information [26687]	when they arrived	1	The previous verse explains that the apostles returned to Jerusalem. If it would be helpful to your readers, you could state that again explicitly here. Alternate translation: “when they arrived back in Jerusalem”
1:13	wlez	207231	Translate Unknowns [26822]	they went up into the upper chamber where they were staying	1	In this culture, in some houses, rooms were built on top of other rooms. The expression **upper chamber** describes such a room, which was reached by stairs. If your culture does not have houses like that, it may be helpful to explain the meaning of the expression in your translation. Alternate translation: “they climbed the stairs to the room where they were staying, which had been built on top of other rooms in the house”
1:13	emfr	207232	Idiom [26697]	James of Alphaeus  &  Judas of James	1	These are two occurrences of an idiom. Alternate translation: “James the son of Alphaeus … Judas the son of James”
1:13	jfhd	207233	How to Translate Names [26805]	James of Alphaeus  &  Judas of James	1	These are the names of four men. As the UST indicates, the man named **James** who was the father of **Judas** is not the same man as the James who is mentioned first in this verse, and he is also not the same man as James the son of Alphaeus.
1:13	q5yq	207234	How to Translate Names [26805]	Simon the Zealot	1	**Simon** is the name of a man, and **Zealot** is another name by which he was known. (1) **Zealot** could be a title that indicates that this man was part of the group of people who wanted to free the Jewish people from Roman rule. Alternate translation: “Simon the Patriot” (2) **Zealot** could also be a description that indicates that this man was zealous for God to be honored. Alternate translation: “Simon the Passionate One”
1:14	u330	207235		unanimously	1	The word **unanimously** indicates that the apostles and other believers shared a common commitment and purpose and that there was no strife among them. Alternate translation: “with one accord” or “harmoniously”
1:14	lstu	207236	Assumed Knowledge and Implicit Information [26687]	the women	1	Luke assumes that his readers will know he is referring to the women who accompanied Jesus and his disciples during his ministry. These women provided for them out of their own means, and they had traveled with them to Jerusalem. These women are described in Luke 8:2–3 and 23:49. Alternate translation: “the women who had helped Jesus and his disciples during his ministry”
1:14	ubzq	207237	Kinship [26799]	his brothers	1	These were Jesus’ younger brothers. They were the sons of Mary and Joseph. Since the Father of Jesus was God, and their father was Joseph, they were actually his half-brothers. That detail is not normally translated, but if your language has a specific word for “younger brother,” you may wish to use it here.
1:15	luuo	207238	Introduction of a New Event [26833]	And in those days	1	Luke uses this phrase to introduce a new event in the story. The phrase refers to the period of time after Jesus ascended, when the disciples were meeting in the upper chamber. Use a word, phrase, or other method in your language that is natural for introducing a new event.
1:15	iu0i	207239	Idiom [26697]	in those days	1	Luke is using the term **days** to refer to a specific time. Alternate translation: “during that time”
1:15	p1lv	207240	Symbolic Action [26816]	having stood up	1	Peter **stood up** to indicate that he had something important to say. Alternate translation: “having stood up to show that he had something important to say”
1:15	se1x	207241	Metaphor [26706]	of the brothers	1	Luke is using the term **brothers** to mean people who share the same faith. Alternate translation: “his fellow believers”
1:15	yll3	207242	When Masculine Words Include Women [26690]	of the brothers	1	Although the term **brothers** is masculine, Luke is using the word in a generic sense that includes both men and women. As the General Introduction to Acts suggests, here and throughout the book, if you retain this figurative usage in your translation, you could state “brothers and sisters” to indicate that it has this generic sense.
1:15	kk95	207243	Background Information [26829]	and the multitude of names to the same was about 120	1	Luke provides this background information to help readers appreciate what happens shortly afterwards in the story, when the church grows in one day to many times this size. It may be helpful to put this background information first in the verse as a separate sentence, in which case it would not have to be in parentheses. Alternate translation: “Now the number of people in that one place was about 120.”
1:15	hc1n	207244	Metonymy [26707]	the multitude of names	1	Luke is using the term **names** to mean “people,” by association with the way that people have names. Alternate translation: “the number of people”
1:15	w6ea	207245		to the same	1	See the discussion of this phrase in Part 3 of the Introduction to Acts. Alternate translation: “in that one place” or “in their Christian fellowship”
1:16	d8od	207246	Idiom [26697]	Men, brothers	1	This is an idiomatic form of address. Alternate translation: “My brothers”
1:16	vjno	207247	Metaphor [26706]	Men, brothers	1	See how you translated the term **brothers** in 1:15. Alternate translation: “My fellow believers”
1:16	va8v	207248	Information Structure [26700]	it was necessary for the scripture to be fulfilled that the Holy Spirit spoke before by the mouth of David concerning Judas, the one having become a guide to the ones arresting Jesus	1	If it would be helpful in your language, you could put the information that Peter provides to identify this **scripture** before his statement that it had to be **fulfilled**. It may be helpful to make that statement a separate sentence. Alternate translation: “the Holy Spirit spoke before by the mouth of David concerning Judas, who became a guide to the ones who arrested Jesus. It was necessary for that scripture to be fulfilled”
1:16	g1bs	207249	Active or Passive [26672]	it was necessary for the scripture to be fulfilled	1	If it would be helpful in your language, you could state this with an active form. Alternate translation: “the things needed to take place that the scripture described” or, if you put the background information first as a separate sentence, “What that scripture described needed to take place”
1:16	scqv	207250		spoke before	1	Alternate translation: “spoke beforehand” or “spoke in advance”
1:16	v24e	207251	Metonymy [26707]	by the mouth of David	1	Peter is using the word **mouth** to refer to words that David spoke or sang using his mouth and that he recorded in the book of Psalms, as Peter indicates in 1:20. Alternate translation: “through the words of David”
1:16	f3zl	207252	Synecdoche [26729]	the one having become a guide to the ones arresting Jesus	1	Peter is using the act of guiding **the ones arresting Jesus** to represent all of the things that Judas did to betray Jesus. This also included meeting beforehand with his enemies, receiving payment for the betrayal, and looking for the best opportunity to catch Jesus away from the crowds. If it would be helpful to your readers, you could express this in more general terms. Alternate translation: “who betrayed Jesus to his enemies”
1:17	s90y	207253	Connect — Reason-and-Result Relationship [26745]	For	1	Peter uses the word **For** to introduce the reason for a result that is described in 1:21–22, after Luke provides further background information and Peter quotes the scripture he referred to in 1:16. The overall meaning is, “Since Judas was one of us apostles, we need to replace him with another witness of the ministry of Jesus.” But since so much material comes between the reason and the result, it may be helpful to give an indication here that Peter has a response in mind. Alternate translation: “There is something important we need to do in response to this scripture being fulfilled, since”
1:17	ksn2	207254	Parallelism [26713]	he was numbered with us and received a share of this ministry	1	These two phrases mean similar things. If it would be helpful to your readers, you could combine them. Alternate translation: “Jesus chose him to be an apostle along with us”
1:17	dvtm	207255		he was numbered with us	1	Peter is using the term **numbered** in one of its specific senses. Alternate translation: “he was considered to be one of us apostles”
1:17	mjzt	207256	Active or Passive [26672]	he was numbered with us	1	If it would be helpful in your language, you could state this with an active form. Alternate translation: “he belonged to our group of apostles”
1:17	vu1y	207257	Exclusive and Inclusive ‘We’ [26685]	with us	1	Although Peter is addressing a larger group of people, he is using the word **us** to refer only to himself and the other apostles. So if your language distinguishes between exclusive and inclusive “us,” it would be accurate to use the exclusive form here. Other languages may have other ways of indicating that **us** is exclusive here. Alternate translation: “with us apostles”
1:17	yk8e	207258	Quote Markings [26720]	a share of this ministry	1	Luke temporarily ends his quotation from Peter after this phrase so that he can provide further background information about Judas in 1:18–19. The quotation resumes in 1:20. If you are identifying quotations in your translation by putting them within quotation marks or by using some other punctuation or convention that your language uses, there should be an ending quotation mark or the equivalent after this phrase.
1:18	zc94	207259	Background Information [26829]	Now indeed	1	Luke is using this expression to introduce further background information that he provides in this verse and the next one about how Judas died and about what people called the field where he died. This is not part of Peter’s speech. You may want to indicate that by putting these verses in parentheses or by using the equivalent convention in your language.
1:18	byl4	207260	Nominal Adjectives [26708]	this one	1	Luke is using the demonstrative adjective **this** as a noun to refer to a specific person, Judas. (ULT shows that by adding **one**.) Your language may use adjectives in the same way. If not, you could state “he” or use the name “Judas.”
1:18	q2zy	207261	Abstract Nouns [26671]	from the wage of unrighteousness	1	If your language does not use an abstract noun for the idea behind the word **unrighteousness**, you could express the same idea with an adjective such as “unrighteous.” Alternate translation: “with the money that he received for doing an unrighteous deed”
1:18	uvfm	207262	Metonymy [26707]	from the wage of unrighteousness	1	Luke is using the term **unrighteousness** to describe Judas betraying Jesus, by association with the way that was an unrighteous thing to do. Alternate translation: “with the money that he received for betraying Jesus”
1:18	moyh	207263	Assumed Knowledge and Implicit Information [26687]	having become prostrate	1	Luke does not say how Judas became prostrate, that is, how his body landed face-down on the field. It is clear, however, that Judas did not just trip and fall accidentally. Rather, it seems that his body forcefully hit the field as he was killing himself. Alternate translation: “in his attempt to kill himself his body struck that field”
1:18	i9vq	207265	Active or Passive [26672]	all his entrails were poured out	1	If it would be helpful in your language, you could state this with an active form. Alternate translation: “all his inward parts poured out”
1:19	xegf	207266		it became known to all those living in Jerusalem	1	The verb form is not passive here, since **known** is an adjective rather than a participle. Even so, it may be helpful to your readers to make **it** the object rather than the subject. Alternate translation: “all those living in Jerusalem heard about it”
1:19	wa7u	207267	Hyperbole [26695]	it became known to all those living in Jerusalem	1	Luke says **all** as a generalization for emphasis. Alternate translation: “it became well known to those living in Jerusalem”
1:19	b12s	207268	Active or Passive [26672]	Therefore that field was called	1	If it would be helpful in your language, you could state this with an active form. Alternate translation: “So they called that field”
1:19	lofk	207269	Copy or Borrow Words [26821]	Akeldama	1	**Akeldama** is an Aramaic word. Luke spells it out using Greek letters so his readers will know how it sounds, and then he says what it means, **Field of Blood**. In your translation you can spell it the way it sounds in your language and then explain its meaning.
1:20	oy93	207270	Quote Markings [26720]	For it is written	1	Luke now resumes his quotation of what Peter said on this occasion. If you are identifying quotations in your translation by putting them within quotation marks or by using some other punctuation or convention that your language uses, there should be an opening quotation mark or the equivalent before this phrase. It may also be helpful to indicate explicitly that the quotation resumes here. Alternate translation: “Peter went on to say, ‘For it is written’”
1:20	m393	207271	Quotes within Quotes [26721]	it is written in the book of Psalms,	1	If it would be helpful in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: “it is written in the book of Psalms that his habitation should be made desolate, with no one dwelling in it, and that another should take his overseership”
1:20	i6f9	207272	Active or Passive [26672]	it is written in the book of Psalms	1	If it would be clearer in your language, you could state this with an active form, and you could state who did the action. Alternate translation: “David wrote in the book of Psalms”
1:20	em26	207273	Third-Person Imperatives [26699]	Let his habitation become desolate,	1	If your language does not use the third-person imperative in this way, you could state this in another way that is natural in your language. Alternate translation: “May his habitation become desolate, and may no one be dwelling in it” or “His habitation should become desolate, and no one should be dwelling be in it”
1:20	d2a5	207274	Imperatives — Other Uses [26698]	Let his habitation become desolate,	1	This is an imperative, but it communicates a request rather than a command. The psalmist is asking God to judge and punish the wicked. Use a form in your language that communicates a request. It may be helpful to add an expression such as “please” to make this clear. Alternate translation: “Please let his habitation become desolate, and please let no one be dwelling in it” or “Please may his habitation become desolate, and please may no one be dwelling in it”
1:20	y8r8	207275	First, Second or Third Person [26670]	Let his habitation become desolate,	1	It may be more natural in your language to use the second person for this imperative. Alternate translation: “God, please make his habitation desolate, and please make no one dwell in it”
1:20	q27x	207276	Parallelism [26713]	Let his habitation become desolate,	1	These two phrases mean basically the same thing. The second emphasizes the meaning of the first by repeating the same idea with different words. Hebrew poetry was based on this kind of repetition, and it would be good to show this to your readers by including both phrases in your translation rather than combining them. However, if the repetition might be confusing, you could connect the phrases with a word other than **and** in order to show that the second phrase is repeating the first one, not saying something additional. Or you could combine the phrases if you think that would be the clearest thing to do. Alternate translation: “Let his habitation be made desolate, yes, let no one dwell in it” or “Let his habitation be made completely desolate”
1:20	gjg3	207277	Metaphor [26706]	Let his habitation become desolate,	1	The word **habitation** likely refers to Judas’ home and is a metaphor for his family line. Alternate translation: “May he leave no descendants, none to continue his family line”
1:20	v7as	207278		Let another take his overseership	1	The word **overseership** refers to a position of leadership and supervision. It is the same term that Paul uses for a spiritual leader in 1 Timothy 3:1. Alternate translation: “Let someone else take his leadership position”
1:20	n6in	207279	Third-Person Imperatives [26699]	Let another take his overseership	1	If your language does not use the third-person imperative in this way, you could state this in another way that is natural in your language. Alternate translation: “May another take his overseership” or “Another should take his overseership”
1:20	sd0l	207280	Imperatives — Other Uses [26698]	Let another take his overseership	1	This is an imperative, but it communicates a request rather than a command. The psalmist is continuing God to judge and punish the wicked. Use a form in your language that communicates a request. It may be helpful to add an expression such as “please” to make this clear. Alternate translation: “Please let another take his overseership” or “Please may another take his overseership”
1:20	gtht	207281	First, Second or Third Person [26670]	Let another take his overseership	1	It may be more natural in your language to use the second person for this imperative. Alternate translation: “God, make another take his overseership” or “God, please give his overseership to another”
1:21	yli2	207282	Verse Bridges [26824]		1	To help your readers understand Peter’s main point in this verse and the next one, you could combine both verses into a verse bridge. You could put his main point in a first sentence and his further explanation in a second sentence. Alternate translation: “Therefore it is necessary for someone else to become a witness with us of Jesus’ resurrection. It should be one of the men who accompanied us during all the time that the Lord Jesus came in and went out among us, beginning from the baptism of John until the day that he was taken up from us.”
1:21	ee8c	207283	Exclusive and Inclusive ‘We’ [26685]	us  &  us	1	In the first instance of **us**, Peter means himself and his fellow apostles, not everyone to whom he is speaking, so use the exclusive form of the word if your language marks that distinction. However, in the second instance of **us**, Peter could well mean himself and his entire audience, so use the inclusive form in that instance.
1:21	relt	207284	Idiom [26697]	the Lord Jesus came in and went out among us	1	Peter is speaking in an idiomatic way. Alternate translation: “the Lord Jesus lived among us”
1:22	amz6	207285	Abstract Nouns [26671]	beginning from the baptism of John	1	If your language does not use an abstract noun for the idea behind the word **baptism**, you could express the same idea with a verb such as “baptize.” Alternate translation: “beginning from when John started baptizing people”
1:22	cn7x	207286	Idiom [26697]	the day on which	1	While Jesus was taken up to heaven on a specific **day**, Peter may be using the word **day** to mean a specific time. Alternate translation: “the time when”
1:22	xq6y	207287	Pronouns — When to Use Them [26838]	he was taken up  &  of his resurrection	1	The pronoun **he** refers to Jesus, not to John the Baptist. The pronoun **his** also refers to Jesus. For clarity, you may want to use the name Jesus instead of one or both of these pronouns. Alternate translation: “Jesus was taken up … the resurrection of Jesus”
1:22	amgf	207288	Active or Passive [26672]	he was taken up from us	1	If it would be helpful in your language, you could state this with an active form. Alternate translation: “God took him up from us”
1:22	q7wq	207289	Exclusive and Inclusive ‘We’ [26685]	from us—  &  with us	1	When Peter says **from us**, he is referring to God taking Jesus from everyone to whom he is speaking. But when Peter says **with us**, he means only himself and the other apostles. So the word “us” would be inclusive in the first instance and exclusive in the second instance, if your language marks that distinction.
1:22	td41	207290	Nominal Adjectives [26708]	one of these	1	Peter is using the demonstrative adjective **these** as a noun to refer to specific people, the men whose qualifications he has just described. Your language may use adjectives in the same way. If not, you could add the term “men” to clarify the meaning. Alternate translation: “one of these men is”
1:22	xqbx	207291	Abstract Nouns [26671]	of his resurrection	1	If your language does not use an abstract noun for the idea behind the word **resurrection**, you could express the same idea with an adjective such as “alive.” Alternate translation: “that God made him alive again after he died”
1:23	v0fa	207292	Pronouns — When to Use Them [26838]	they stood up two	1	The pronoun **they** refers to all of the believers who were present on this occasion. This is the group that Luke describes as “the brothers” in 1:15. Alternate translation: “the believers stood up two”
1:23	p5gy	207293	Nominal Adjectives [26708]	they stood up two	1	Luke is using the adjective **two** as a noun to refer to specific people, two men who met the qualifications Peter described. Your language may use adjectives in the same way. If not, you could add the term “men” to clarify the meaning, and you could also describe these men more specifically. Alternate translation: “the believers stood up two men” or “the believers stood up two men who met the qualifications that Peter described”
1:23	bx4u	207294	Symbolic Action [26816]	they stood up two	1	When the believers **stood up** these two men, that is, when they had them stand up within the group, this was a symbolic way of proposing them as candidates to replace Judas. Alternate translation: “the believers proposed two men who met the qualifications that Peter described”
1:23	dt6s	207295	How to Translate Names [26805]	Joseph,  &  Barsabbas,  &  Justus	1	**Joseph** is the name of a man, and **Barsabbas** and **Justus** are two other names by which he was known. **Barsabbas** is probably a patronymic, that is, an indication of who his father was. If your language and culture identify people by patronymics, it may be helpful to translate this name as “the son of Sabbas,” as UST does. **Justus** is a Roman name, and it may be a name that this man used for official purposes and in interactions with people who spoke Latin. (It would be like the name Paul, by which Saul of Tarsus was also known in the Roman Empire.)
1:23	fao1	207296	Active or Passive [26672]	called Barsabbas, who was named Justus	1	If it would be helpful in your language, you could state both of these things with active forms. Alternate translation: “whom people called Barsabbas and whose other name was Justus”
1:23	xsel	207297	How to Translate Names [26805]	Matthias	1	**Matthias** is the name of a man.
1:24	bs5a	207298	Verse Bridges [26824]		1	Judas betrayed Jesus and abandoned his position as an apostle. The person who is praying says that in the next verse. As a result, the believers are asking God to show them whom he has chosen to replace Judas, as the person praying says in this verse. You could put the reason before the result by creating a verse bridge. UST provides a model for doing that.
1:24	nqt3	207299	Hendiadys [26694]	praying, they said	1	Together the words **praying** and **said** indicate that the believers said what they did while praying. Alternate translation: “they said in prayer” or “they prayed”
1:24	udxw	207300	Synecdoche [26729]	praying, they said	1	The pronoun **they** refers to all of the believers, but one of the apostles alone probably spoke these words on behalf of everyone. Alternate translation: “as the believers were all praying together, one of the apostles said”
1:24	y5c0	207301		You, Lord, heart-knower of all	1	Alternate translation: “You, Lord, who know the hearts of all people”
